sep=,
"Time","adcs_SunVectors.xm_sun_vector_x","adcs_SunVectors.xm_sun_vector_y","adcs_SunVectors.xm_sun_vector_z","adcs_SunVectors.yp_sun_vector_x","adcs_SunVectors.yp_sun_vector_y","adcs_SunVectors.yp_sun_vector_z","adcs_SunVectors.ym_sun_vector_x","adcs_SunVectors.ym_sun_vector_y","adcs_SunVectors.ym_sun_vector_z","adcs_SunVectors.xp_sun_vector_x","adcs_SunVectors.xp_sun_vector_y","adcs_SunVectors.xp_sun_vector_z","adcs_SunVectors.zm_sun_vector_x","adcs_SunVectors.zm_sun_vector_y","adcs_SunVectors.zm_sun_vector_z","adcs_SunVectors.zp_sun_vector_x","adcs_SunVectors.zp_sun_vector_y","adcs_SunVectors.zp_sun_vector_z"
1720439904808,0,0,0,0,0,0,0,0,0,0.992672,0.04398,-0.112556,0,0,0,0,0,0
1720439906012,0,0,0,0,0,0,0,0,0,0.992849,0.041314,-0.112,0,0,0,0,0,0
1720439912303,0,0,0,0,0,0,0,0,0,0.992921,0.042018,-0.111099,0,0,0,0,0,0
1720439913506,0,0,0,0,0,0,0,0,0,0.992906,0.041029,-0.1116,0,0,0,0,0,0
1720439916043,0,0,0,0,0,0,0,0,0,0.992975,0.039394,-0.111571,0,0,0,0,0,0
1720439917122,0,0,0,0,0,0,0,0,0,0.992928,0.042048,-0.111024,0,0,0,0,0,0
1720439918199,0,0,0,0,0,0,0,0,0,0.992694,0.040663,-0.113601,0,0,0,0,0,0
1720439921082,0,0,0,0,0,0,0,0,0,0.992594,0.042816,-0.113683,0,0,0,0,0,0
1720439921979,0,0,0,0,0,0,0,0,0,0.992541,0.043329,-0.113952,0,0,0,0,0,0
1720439926034,0,0,0,0,0,0,0,0,0,0.992459,0.043201,-0.114711,0,0,0,0,0,0
1720439927000,0,0,0,0,0,0,0,0,0,0.992307,0.044458,-0.115541,0,0,0,0,0,0
1720439930171,0,0,0,0,0,0,0,0,0,0.99174,0.045496,-0.119923,0,0,0,0,0,0
1720439931084,0,0,0,0,0,0,0,0,0,0.991262,0.0454,-0.123852,0,0,0,0,0,0
1720439932494,0,0,0,0,0,0,0,0,0,0.99154,0.043829,-0.122178,0,0,0,0,0,0
1720439933661,0,0,0,0,0,0,0,0,0,0.991567,0.045317,-0.121416,0,0,0,0,0,0
1720439936287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439937233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439938394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439941241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439942173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439945115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439946103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439947399,0,0,0,0,0,0,0,0,0,0,0,0,0.415029,0.113927,-0.902647,0,0,0
1720439948645,0,0,0,0,0,0,0,0,0,0,0,0,0.327887,0.113593,-0.937863,0,0,0
1720439951230,0,0,0,0,0,0,0,0,0,0,0,0,0.040214,0.092812,-0.994871,0,0,0
1720439952221,0,0,0,0,0,0,0,0,0,0,0,0,-0.030239,0.098165,-0.994711,0,0,0
1720439953362,0,0,0,0,0,0,0,0,0,0,0,0,-0.052418,0.100229,-0.993583,0,0,0
1720439955966,0,0,0,0,0,0,0,0,0,0,0,0,-0.204019,0.108366,-0.972951,0,0,0
1720439957109,0,0,0,0,0,0,0,0,0,0,0,0,-0.264797,0.108226,-0.958212,0,0,0
1720439960014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439961311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439966176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439967382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439970054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439971215,-0.929443,0.028615,-0.367854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439972139,-0.961612,0.022875,-0.273457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439974790,-0.999878,0.014177,0.006524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439976083,-0.994331,0.01138,0.105714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439981208,-0.895804,-0.00077,0.444449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720439983706,-0.825072,-0.005855,0.564997,0,0,0,0,0,0,0,0,0,0,0,0,-0.617464,0.057767,0.784475
1720439985086,-0.775574,-0.009227,0.63119,0,0,0,0,0,0,0,0,0,0,0,0,-0.600764,0.053319,0.797646
1720439986118,-0.762507,-0.010783,0.646891,0,0,0,0,0,0,0,0,0,0,0,0,-0.577084,0.054357,0.814874
1720439987413,-0.779737,-0.014703,0.625934,0,0,0,0,0,0,0,0,0,0,0,0,-0.556325,0.051427,0.829372
1720439988534,-0.785742,-0.01623,0.618342,0,0,0,0,0,0,0,0,0,0,0,0,-0.551098,0.051044,0.832878
1720439989607,-0.786774,-0.015374,0.61705,0,0,0,0,0,0,0,0,0,0,0,0,-0.54988,0.050485,0.833716
1720439992324,-0.857491,-0.022599,0.514003,0,0,0,0,0,0,0,0,0,0,0,0,-0.44406,0.049942,0.894604
1720439993482,-0.849627,-0.013121,0.527221,0,0,0,0,0,0,0,0,0,0,0,0,-0.389155,0.052786,0.919659
1720439996068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225077,0.052264,0.972938
1720439997276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174346,0.055193,0.983136
1720440000676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009258,0.057974,0.998275
1720440001883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05765,0.059559,0.996559
1720440004770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204547,0.066716,0.976581
1720440005846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270993,0.072239,0.959867
1720440006968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32347,0.067907,0.943799
1720440008047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37741,0.070273,0.923376
1720440010717,0,0,0,0,0,0,0,0,0,0.764214,0.004932,0.644944,0,0,0,0.534026,0.080812,0.841597
1720440011878,0,0,0,0,0,0,0,0,0,0.76231,0.010152,0.647133,0,0,0,0.56454,0.083597,0.821162
1720440013301,0,0,0,0,0,0,0,0,0,0.788747,0.017206,0.614477,0,0,0,0.602151,0.084624,0.793885
1720440017393,0,0,0,0,0,0,0,0,0,0.904715,0.004609,0.425992,0,0,0,0,0,0
1720440018344,0,0,0,0,0,0,0,0,0,0.934428,0.004688,0.356122,0,0,0,0,0,0
1720440020794,0,0,0,0,0,0,0,0,0,0.968599,0.014761,0.248188,0,0,0,0,0,0
1720440022043,0,0,0,0,0,0,0,0,0,0.987705,0.029478,0.153528,0,0,0,0,0,0
1720440024802,0,0,0,0,0,0,0,0,0,0.998819,0.042456,0.023609,0,0,0,0,0,0
1720440026005,0,0,0,0,0,0,0,0,0,0.99901,0.044179,-0.005185,0,0,0,0,0,0
1720440027000,0,0,0,0,0,0,0,0,0,0.998939,0.043799,-0.014255,0,0,0,0,0,0
1720440028159,0,0,0,0,0,0,0,0,0,0.997996,0.041047,-0.04815,0,0,0,0,0,0
1720440030745,0,0,0,0,0,0,0,0,0,0.991777,0.044002,-0.120173,0,0,0,0,0,0
1720440032124,0,0,0,0,0,0,0,0,0,0.983272,0.046512,-0.176106,0,0,0,0,0,0
1720440033009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440037254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440040869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440041987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440043084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440044877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440047031,0,0,0,0,0,0,0,0,0,0,0,0,0.37225,0.115659,-0.920898,0,0,0
1720440048020,0,0,0,0,0,0,0,0,0,0,0,0,0.310249,0.11481,-0.943697,0,0,0
1720440049102,0,0,0,0,0,0,0,0,0,0,0,0,0.200983,0.111646,-0.973212,0,0,0
1720440052111,0,0,0,0,0,0,0,0,0,0,0,0,-0.057444,0.098413,-0.993486,0,0,0
1720440053023,0,0,0,0,0,0,0,0,0,0,0,0,-0.070462,0.099253,-0.992564,0,0,0
1720440055861,0,0,0,0,0,0,0,0,0,0,0,0,-0.227266,0.105454,-0.968106,0,0,0
1720440057022,0,0,0,0,0,0,0,0,0,0,0,0,-0.313664,0.099015,-0.944357,0,0,0
1720440060169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440061072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440062496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440063614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440064656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440067280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440068398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440071326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440072207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440074729,-0.946047,0.025704,-0.323007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440075892,-0.960032,0.021668,-0.279051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440080114,-0.996158,0.013514,0.08652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440081062,-0.992429,0.011768,0.122258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440082123,-0.971587,0.007424,0.236566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440084768,-0.881418,-0.000759,0.472337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440086057,-0.836504,-0.002908,0.547953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440090284,-0.83217,-0.019781,0.554167,0,0,0,0,0,0,0,0,0,0,0,0,-0.500038,0.047189,0.864717
1720440091015,-0.856277,-0.020343,0.516116,0,0,0,0,0,0,0,0,0,0,0,0,-0.440882,0.049024,0.896225
1720440094288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.147759,0.057898,0.987327
1720440095267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484,0.058377,0.997121
1720440097993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024068,0.059735,0.997924
1720440099197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023875,0.060129,0.997905
1720440101827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025632,0.06152,0.997777
1720440102861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025519,0.061055,0.997808
1720440104327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025961,0.061277,0.997783
1720440109539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021672,0.057783,0.998094
1720440110413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023404,0.056353,0.998137
1720440113031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022523,0.058038,0.99806
1720440114200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021901,0.05746,0.998108
1720440116820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022252,0.057762,0.998082
1720440117980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02163,0.05815,0.998073
1720440124227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021371,0.056781,0.998158
1720440125434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021804,0.057407,0.998113
1720440126477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021386,0.056204,0.99819
1720440129230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021491,0.056522,0.99817
1720440130215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022338,0.057243,0.99811
1720440132715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02244,0.057153,0.998113
1720440133904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022313,0.056792,0.998137
1720440139047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022759,0.057902,0.998063
1720440140298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023322,0.058716,0.998002
1720440142840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023037,0.056943,0.998112
1720440144046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023665,0.058211,0.998024
1720440145210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022637,0.057962,0.998062
1720440150038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024302,0.058618,0.997985
1720440151155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024209,0.058445,0.997997
1720440154690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024515,0.060391,0.997874
1720440156068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024378,0.05873,0.997976
1720440161195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025885,0.0605,0.997833
1720440162316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025668,0.060392,0.997845
1720440164813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025939,0.060623,0.997824
1720440165708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025688,0.060098,0.997862
1720440169378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025936,0.060868,0.997809
1720440170454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025874,0.059592,0.997887
1720440173043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025838,0.060994,0.997804
1720440174249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026168,0.061385,0.997771
1720440175228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027295,0.061348,0.997743
1720440178817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02626,0.060563,0.997819
1720440180064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024983,0.059193,0.997934
1720440182870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025524,0.059545,0.997899
1720440184071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024627,0.059092,0.997949
1720440185080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024231,0.058082,0.998018
1720440187737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022289,0.057213,0.998113
1720440188811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022218,0.056921,0.998132
1720440190110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023053,0.057352,0.998088
1720440195062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021044,0.057761,0.998109
1720440196054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022576,0.056719,0.998135
1720440197259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022785,0.055992,0.998171
1720440201094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022797,0.055928,0.998175
1720440202138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022009,0.056007,0.998188
1720440206089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023335,0.058049,0.998041
1720440208889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02424,0.05813,0.998015
1720440210957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024198,0.059135,0.997957
1720440212626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025863,0.059178,0.997912
1720440213764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025215,0.060018,0.997879
1720440216240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025058,0.059257,0.997928
1720440217891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025237,0.059758,0.997894
1720440219530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026192,0.059962,0.997857
1720440221536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025098,0.059428,0.997917
1720440224794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720440227198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050668,0.110011,0.992638
1720440228539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047566,0.12525,0.990984
1720440229560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038885,0.129651,0.990797
1720440231980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038349,0.124943,0.991423
1720440233171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035655,0.025951,0.999027
1720440234314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033555,-0.016516,0.9993
1720440237240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028999,-0.230202,0.972711
1720440238460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026573,-0.273592,0.961479
1720440239646,0,0,0,0,0,0,-0.023723,-0.763713,0.64512,0,0,0,0,0,0,-0.021206,-0.324489,0.945652
